"id_regla","activa","prioridad","tipo_regla","campo_objetivo","operador","patron","patron_adicional","patron_exclusion","codigo_disciplina","disciplina_nombre","codigo_familia","familia_nombre","codigo_subfamilia","subfamilia_nombre","paquete_comparativo","metodo_valoracion","fuente_objetivo","requiere_fuente_actual","criterio_estadistico","confianza","requiere_revision","comentario"
"R001","Sí","1.0","excepcion","desc","contiene","buzo","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-BUZ","Buzos / trabajos subacuáticos","Trabajos especializados","Proyecto provisional","Subcontrata buzos local","Sí","Mantener proyecto hasta oferta","98","Sí","No clasificar como MT aunque código sea OC01"
"R002","Sí","1.0","excepcion","desc","contiene","subacuatico","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-BUZ","Buzos / trabajos subacuáticos","Trabajos especializados","Proyecto provisional","Subcontrata buzos local","Sí","Mantener proyecto hasta oferta","98","Sí","Trabajo subacuático especializado"
"R003","Sí","1.0","excepcion","desc","contiene","emisario","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-OBR","Obra marina / emisario","Obra marina","Oferta específica","Subcontrata obra marina","Sí","Precio proveedor validado","98","Sí","No valorar con ratios convencionales"
"R004","Sí","1.0","excepcion","desc","contiene","difusor","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-OBR","Obra marina / emisario","Obra marina","Oferta específica","Subcontrata obra marina","Sí","Precio proveedor validado","98","Sí","Obra marina especializada"
"R005","Sí","1.0","excepcion","desc","contiene","dragado","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-OBR","Obra marina / emisario","Obra marina","Oferta específica","Subcontrata obra marina","Sí","Precio proveedor validado","98","Sí","Obra marina especializada"
"R006","Sí","1.0","excepcion","desc","contiene","hinca","","","CIV","Civil","CIV-12","Obra marítima, captación y emisarios","CIV-12-HIN","Hinca / perforación especial","Trabajos especializados","Oferta específica","Subcontrata hinca / PHD","Sí","Precio proveedor validado","95","Sí","Revisar si es tubería proceso o captación"
"R007","Sí","1.0","excepcion","desc","contiene","raee","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-RAE","RAEE","Residuos","Tarifa oficial","BOIB / gestor RAEE","Sí","Tarifa vigente + ajuste técnico","98","Sí","Alto importe; poco comparable con RCD"
"R008","Sí","1.0","excepcion","desc","contiene","pcb","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-RAE","RAEE / residuo especial","Residuos","Oferta específica","Gestor autorizado","Sí","Precio proveedor validado","98","Sí","Control documental específico"
"R009","Sí","1.0","excepcion","desc","contiene","amianto","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuo peligroso con amianto","Residuos","Oferta específica","Gestor autorizado amianto","Sí","Precio proveedor validado","99","Sí","No mezclar con RCD ordinarios"
"R010","Sí","1.0","excepcion","desc","contiene","asbesto","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuo peligroso con amianto","Residuos","Oferta específica","Gestor autorizado amianto","Sí","Precio proveedor validado","99","Sí","No mezclar con RCD ordinarios"
"R011","Sí","1.0","excepcion","desc","contiene","residuo peligroso","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuos peligrosos","Residuos","Oferta específica","Gestor RP","Sí","Precio proveedor validado","98","Sí","Gestión dependiente del residuo real"
"R012","Sí","1.0","excepcion","desc","contiene","ler peligroso","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuos peligrosos","Residuos","Oferta específica","Gestor RP","Sí","Precio proveedor validado","98","Sí","Requiere gestor específico"
"R013","Sí","1.0","excepcion","desc","contiene","mac insular","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-RCD","RCD / Mac Insular","Residuos","Tarifa oficial","BOIB / Mac Insular","No","Tarifa vigente + ajuste técnico","98","Sí","Activar tabla auxiliar BOIB/densidades"
"R014","Sí","1.0","excepcion","desc","contiene","verja","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-VAL","Vallados metálicos","Cerrajería PRFV","Oferta específica","Cerrajero / metálicas","Sí","Precio proveedor validado","95","Sí","No contaminar acero estructural"
"R015","Sí","1.0","excepcion","desc","contiene","vallado","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-VAL","Vallados metálicos","Cerrajería PRFV","Oferta específica","Cerrajero / metálicas","Sí","Precio proveedor validado","95","Sí","No contaminar acero estructural"
"R016","Sí","1.0","excepcion","desc","contiene","barandilla","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-VAL","Vallados / cerrajería","Cerrajería PRFV","Oferta específica","Cerrajero / metálicas","Sí","Precio proveedor validado","95","Sí","No contaminar acero estructural"
"R017","Sí","1.0","excepcion","desc","contiene","tramex","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-TRA","Tramex / plataformas PRFV","Cerrajería PRFV","Oferta específica","Proveedor PRFV / Hydroclick","Sí","Precio proveedor validado","98","Sí","Proveedor específico"
"R018","Sí","1.0","excepcion","desc","contiene","hydroclick","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-TRA","Tramex / plataformas PRFV","Cerrajería PRFV","Oferta específica","Proveedor PRFV / Hydroclick","Sí","Precio proveedor validado","98","Sí","Proveedor específico"
"R019","Sí","1.0","excepcion","desc","contiene","escalera prfv","","","CIV","Civil","CIV-09","Cerrajería, tramex, plataformas y vallados","CIV-09-ESC","Escaleras PRFV","Cerrajería PRFV","Oferta específica","Proveedor PRFV","Sí","Precio proveedor validado","95","Sí","Escalera de fibra de vidrio"
"R020","Sí","1.0","excepcion","desc","contiene","columnas de modulo controlado","","","CIV","Civil","CIV-05","Tratamiento del terreno y cimentaciones especiales","CIV-05-CMC","Columnas de módulo controlado","Cimentaciones especiales","Oferta específica","Subcontrata geotecnia","Sí","Precio proveedor validado","98","Sí","No es movimiento de tierras"
"R021","Sí","1.0","excepcion","desc","contiene","cmc","","","CIV","Civil","CIV-05","Tratamiento del terreno y cimentaciones especiales","CIV-05-CMC","Columnas de módulo controlado","Cimentaciones especiales","Oferta específica","Subcontrata geotecnia","Sí","Precio proveedor validado","98","Sí","CMC = columnas módulo controlado"
"R022","Sí","1.0","excepcion","desc","contiene","inclusiones rigidas","","","CIV","Civil","CIV-05","Tratamiento del terreno y cimentaciones especiales","CIV-05-CMC","Columnas de módulo controlado","Cimentaciones especiales","Oferta específica","Subcontrata geotecnia","Sí","Precio proveedor validado","95","Sí","No es movimiento de tierras"
"R023","Sí","1.0","excepcion","desc","contiene","micropilote","","","CIV","Civil","CIV-05","Tratamiento del terreno y cimentaciones especiales","CIV-05-ESP","Cimentación especial","Cimentaciones especiales","Oferta específica","Subcontrata geotecnia","Sí","Precio proveedor validado","98","Sí","Riesgo técnico/económico alto"
"R024","Sí","1.0","excepcion","desc","contiene","jet grouting","","","CIV","Civil","CIV-05","Tratamiento del terreno y cimentaciones especiales","CIV-05-ESP","Cimentación especial","Cimentaciones especiales","Oferta específica","Subcontrata geotecnia","Sí","Precio proveedor validado","98","Sí","Subcontrata geotecnia"
"R025","Sí","1.0","excepcion","desc","contiene","soil mixing","","","CIV","Civil","CIV-05","Tratamiento del terreno y cimentaciones especiales","CIV-05-ESP","Cimentación especial","Cimentaciones especiales","Oferta específica","Subcontrata geotecnia","Sí","Precio proveedor validado","98","Sí","Subcontrata geotecnia"
"R026","Sí","1.0","excepcion","desc","contiene","localizacion de servicios","","","CIV","Civil","CIV-16","Servicios afectados y desvíos","CIV-16-SER","Localización / servicios afectados","Servicios afectados","Proyecto provisional","Empresa detección servicios","Sí","Mantener proyecto hasta oferta","98","Sí","No es excavación productiva"
"R027","Sí","1.0","excepcion","desc","contiene","servicios afectados","","","CIV","Civil","CIV-16","Servicios afectados y desvíos","CIV-16-SER","Localización / servicios afectados","Servicios afectados","Proyecto provisional","Empresa detección servicios","Sí","Mantener proyecto hasta oferta","98","Sí","No es excavación productiva"
"R028","Sí","1.0","excepcion","desc","contiene","bombeo de hormigon","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-BOM","Bombeo de hormigón","Hormigón","Referencia histórica actualizada","Proveedores bombeo / oferta actual","Sí","Mediana si >=3 fuentes; mínimo 2","98","Sí","Excepción frente a equipos mecánicos"
"R029","Sí","1.0","excepcion","desc","contiene","achique","","","CIV","Civil","CIV-04","Contenciones, entibaciones y achiques","CIV-04-ACH","Achiques / agotamiento","Temporales","Oferta específica","Subcontrata achique","Sí","Precio proveedor validado","95","Sí","No confundir con bombas de proceso"
"R030","Sí","1.0","excepcion","desc","contiene","agotamiento","","","CIV","Civil","CIV-04","Contenciones, entibaciones y achiques","CIV-04-ACH","Achiques / agotamiento","Temporales","Oferta específica","Subcontrata achique","Sí","Precio proveedor validado","95","Sí","Sistema de agotamiento"
"R031","Sí","1.0","excepcion","desc","contiene","wellpoint","","","CIV","Civil","CIV-04","Contenciones, entibaciones y achiques","CIV-04-ACH","Achiques / agotamiento","Temporales","Oferta específica","Subcontrata achique","Sí","Precio proveedor validado","95","Sí","Sistema de agotamiento"
"R032","Sí","1.0","excepcion","desc","contiene","dewatering","","","CIV","Civil","CIV-04","Contenciones, entibaciones y achiques","CIV-04-ACH","Achiques / agotamiento","Temporales","Oferta específica","Subcontrata achique","Sí","Precio proveedor validado","95","Sí","Sistema de agotamiento"
"R033","Sí","1.0","excepcion","desc","contiene","osmosis inversa","","","MEC","Mecánico","MEC-02","Equipos específicos IDAM / OI / desalación","MEC-02-OI","OI / membranas / bastidores","Desalación","Oferta específica","Proveedor OI","Sí","Precio proveedor validado","98","Sí","Membrana OI específica IDAM"
"R034","Sí","1.0","excepcion","desc","contiene","membrana de osmosis","","","MEC","Mecánico","MEC-02","Equipos específicos IDAM / OI / desalación","MEC-02-OI","OI / membranas / bastidores","Desalación","Oferta específica","Proveedor OI","Sí","Precio proveedor validado","98","Sí","Membrana OI específica IDAM"
"R035","Sí","1.0","excepcion","desc","regex","\beri\b","","","MEC","Mecánico","MEC-02","Equipos específicos IDAM / OI / desalación","MEC-02-ERI","Recuperación de energía","Desalación","Oferta específica","ERI / PX","Sí","Precio proveedor validado","98","Sí","ERI=Energy Recovery Interchange; word boundary"
"R040","Sí","1.5","excepcion_hormigon","desc","contiene","ha-","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR","Hormigón","Hormigón","Oferta actual + descompuesto","CEMEX + bombeo + colocacion","Sí","Mediana si >=3 fuentes; mínimo 2","95","Sí","HA-xx gana sobre rellenos y excavaciones"
"R041","Sí","1.5","excepcion_hormigon","desc","contiene","hm-","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-MAS","Hormigón en masa","Hormigón","Oferta actual + descompuesto","CEMEX + bombeo + colocacion","Sí","Mediana si >=3 fuentes; mínimo 2","90","Sí","HM-xx gana sobre rellenos"
"R042","Sí","1.5","excepcion_hormigon","desc","contiene","hl-","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-LIM","Hormigón de limpieza","Hormigón","Oferta actual + descompuesto","CEMEX + colocacion sencilla","No","Mediana si >=3 fuentes; mínimo 2","90","No","HL-xx hormigon de limpieza"
"R043","Sí","1.5","excepcion_hormigon","desc","contiene","iiia","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-XS1","HA ambiente marino aereo / equivalente XS1","Hormigón","Oferta actual + descompuesto","CEMEX + bombeo + colocacion","Sí","Mediana si >=3 fuentes; mínimo 2","90","Sí","EHE clase IIIa ~ XS1 (revisar exposicion real)"
"R044","Sí","1.5","excepcion_hormigon","desc","contiene","iiib","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-XS2","HA ambiente marino sumergido / equivalente XS2","Hormigón","Oferta actual + descompuesto","CEMEX + bombeo + colocacion","Sí","Mediana si >=3 fuentes; mínimo 2","90","Sí","EHE clase IIIb ~ XS2 (revisar exposicion real)"
"R045","Sí","1.5","excepcion_hormigon","desc","contiene","iiic","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-XS3","HA ambiente salpicaduras / equivalente XS3","Hormigón","Oferta específica","Proveedor hormigon especifico","Sí","Precio proveedor validado","90","Sí","EHE clase IIIc ~ XS3; no asimilar a XS2"
"R046","Sí","1.5","excepcion_hormigon","desc","contiene","xs2","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-XS2","HA ambiente marino sumergido / XS2","Hormigón","Oferta actual + descompuesto","CEMEX XS2 + bombeo + colocacion","Sí","Mediana si >=3 fuentes; mínimo 2","95","Sí","Ambiente marino sumergido"
"R047","Sí","1.5","excepcion_hormigon","desc","contiene","xs1","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-XS1","HA ambiente marino aereo / XS1","Hormigón","Oferta actual + descompuesto","CEMEX XS1 + bombeo + colocacion","Sí","Mediana si >=3 fuentes; mínimo 2","95","Sí","Ambiente marino aereo"
"R048","Sí","1.5","excepcion_hormigon","desc","contiene","xs3","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR-XS3","HA ambiente XS3","Hormigón","Oferta específica","Proveedor hormigon especifico","Sí","Precio proveedor validado","95","Sí","No asimilar automaticamente a XS2"
"R050","Sí","2.0","palabra_clave","desc","contiene","rcd","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-RCD","RCD","Residuos","Tarifa oficial","BOIB / Mac Insular","No","Tarifa vigente + ajuste técnico","95","Sí","Separar de tierras y RAEE"
"R051","Sí","2.0","palabra_clave","desc","contiene","tierras a vertedero","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-TIE","Tierras / vertedero","Residuos","Tarifa oficial","BOIB / Mac Insular","No","Tarifa vigente + ajuste técnico","95","Sí","Canon + transporte"
"R052","Sí","2.0","palabra_clave","desc","contiene","deposicion de residuos peligrosos","","","CIV","Civil","CIV-17","Gestión de residuos","CIV-17-PEL","Residuos peligrosos","Residuos","Oferta específica","Gestor RP","Sí","Precio proveedor validado","95","Sí","Gestion residuo peligroso"
"R053","Sí","2.0","palabra_clave","desc","contiene","implantacion","","","CIV","Civil","CIV-01","Preliminares, implantación y trabajos previos","CIV-01-IMP","Implantación","Preliminares","Proyecto provisional","Proyecto / ratios internos","No","Mantener proyecto hasta oferta","85","Sí","Puede ser indirecto de obra"
"R054","Sí","2.0","palabra_clave","desc","contiene","instalaciones provisionales","","","CIV","Civil","CIV-01","Preliminares, implantación y trabajos previos","CIV-01-IMP","Implantación","Preliminares","Proyecto provisional","Proyecto / ratios internos","No","Mantener proyecto hasta oferta","85","Sí","Puede ser indirecto de obra"
"R055","Sí","2.0","palabra_clave","desc","contiene","replanteo","","","CIV","Civil","CIV-01","Preliminares, implantación y trabajos previos","CIV-01-TOP","Topografía / replanteo","Preliminares","Proyecto provisional","Topografia","No","Mantener proyecto hasta oferta","90","No","No clasificar como ingenieria"
"R056","Sí","2.0","palabra_clave","desc","contiene","demolicion","","","CIV","Civil","CIV-02","Demoliciones, desmontajes y levantados","CIV-02-DEM","Demoliciones","Demoliciones","Referencia histórica actualizada","DOSMAS / obra propia","No","Mediana si >=3 fuentes; mínimo 2","92","Sí","Distinguir HA / fabrica / firme / equipo"
"R057","Sí","2.0","palabra_clave","desc","contiene","levantado","","residuo","CIV","Civil","CIV-02","Demoliciones, desmontajes y levantados","CIV-02-DES","Levantados / desmontajes","Demoliciones","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","88","Sí","Si equipo electromecánico revisar"
"R058","Sí","2.0","palabra_clave","desc","contiene_y_no_contiene","desmontaje","","residuo","CIV","Civil","CIV-02","Demoliciones, desmontajes y levantados","CIV-02-DES","Levantados / desmontajes","Demoliciones","Referencia histórica actualizada","Obra propia","No","Mediana si >=3 fuentes; mínimo 2","88","Sí","Si equipo electromecánico revisar"
"R059","Sí","2.0","palabra_clave","desc","contiene","desbroce","","","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-DES","Desbroce","Movimiento de tierras","Referencia histórica actualizada","DOSMAS / obra propia","No","Mediana si >=3 fuentes; mínimo 2","90","No","Movimiento de tierras puro"
"R060","Sí","2.0","palabra_clave","desc","contiene_y_no_contiene","excavaci","","servicios","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-EXC","Excavaciones","Movimiento de tierras","Referencia histórica actualizada","DOSMAS / obra propia","No","Mediana si >=3 fuentes; mínimo 2","92","Sí","Distinguir cielo abierto / zanja / bataches / roca"
"R061","Sí","2.0","palabra_clave","desc","contiene","vaciado","","","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-EXC","Excavaciones","Movimiento de tierras","Referencia histórica actualizada","DOSMAS / obra propia","No","Mediana si >=3 fuentes; mínimo 2","90","Sí","Movimiento de tierras"
"R062","Sí","2.0","palabra_clave","desc","contiene","bataches","","","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-EXB","Excavación por bataches","Movimiento de tierras","Referencia histórica actualizada","Obra propia ajustada","No","Mediana si >=3 fuentes; mínimo 2","95","Sí","Rendimiento inferior a excavacion ordinaria"
"R063","Sí","2.0","palabra_clave","desc","contiene","relleno","","","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-REL","Rellenos","Movimiento de tierras","Referencia histórica actualizada","DOSMAS / obra propia","No","Mediana si >=3 fuentes; mínimo 2","90","Sí","Distinguir material propio vs prestamo"
"R064","Sí","2.0","palabra_clave","desc","contiene","prestamo","","","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-REP","Relleno con préstamo","Movimiento de tierras","Descompuesto técnico","Cantera + transporte + compactacion","Sí","Mediana si >=3 fuentes; mínimo 2","95","Sí","No comparar con relleno material propio"
"R065","Sí","2.0","palabra_clave","desc","contiene","terraplen","","","CIV","Civil","CIV-03","Movimiento de tierras","CIV-03-REL","Rellenos","Movimiento de tierras","Referencia histórica actualizada","DOSMAS / obra propia","No","Mediana si >=3 fuentes; mínimo 2","90","Sí","Movimiento de tierras"
"R066","Sí","2.0","palabra_clave","desc","contiene","entibacion","","","CIV","Civil","CIV-04","Contenciones, entibaciones y achiques","CIV-04-ENT","Entibaciones","Movimiento de tierras","Oferta específica","Subcontrata entibacion","Sí","Precio proveedor validado","95","Sí","No incluir en excavacion ordinaria"
"R067","Sí","2.0","palabra_clave","desc","contiene","berlinesa","","","CIV","Civil","CIV-04","Contenciones, entibaciones y achiques","CIV-04-BER","Berlinesa","Movimiento de tierras","Oferta específica","Especialista contencion","Sí","Precio proveedor validado","95","Sí","Subcontrata especializada"
"R068","Sí","2.0","palabra_clave","desc","contiene","tablestaca","","","CIV","Civil","CIV-04","Contenciones, entibaciones y achiques","CIV-04-TAB","Tablestacas","Movimiento de tierras","Oferta específica","Especialista contencion","Sí","Precio proveedor validado","95","Sí","Subcontrata especializada"
"R069","Sí","2.0","palabra_clave","desc","contiene_y_no_contiene","pilote","","micropilote","CIV","Civil","CIV-05","Tratamiento del terreno y cimentaciones especiales","CIV-05-ESP","Cimentación especial","Cimentaciones especiales","Oferta específica","Subcontrata geotecnia","Sí","Precio proveedor validado","98","Sí","Subcontrata geotecnia"
"R070","Sí","2.0","palabra_clave","desc","contiene","encofrado","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-ENC","Encofrados","Encofrados","Referencia histórica actualizada","Obra 2020 / encofrador","Sí","Mediana si >=3 fuentes; mínimo 2","98","Sí","Tipologia manda el precio"
"R071","Sí","2.0","palabra_clave","desc","contiene","cimbra","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-ENC-CIM","Cimbras y apeos","Encofrados","Oferta específica","Encofrador / cimbras","Sí","Precio proveedor validado","95","Sí","Puede ser coste relevante separado"
"R072","Sí","2.0","palabra_clave","desc","contiene","apeo","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-ENC-CIM","Cimbras y apeos","Encofrados","Oferta específica","Encofrador / apeos","Sí","Precio proveedor validado","95","Sí","Puede ser coste relevante separado"
"R073","Sí","2.0","palabra_clave","desc","contiene","b500","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-FER","Ferralla B500SD","Acero B500SD","Oferta actual + descompuesto","Hierros Mallorca + rendimiento","Sí","Mediana si >=3 fuentes; mínimo 2","98","Sí","No clasificar como S275"
"R074","Sí","2.0","palabra_clave","desc","contiene","armadura","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-FER","Ferralla B500SD","Acero B500SD","Oferta actual + descompuesto","Hierros Mallorca + rendimiento","Sí","Mediana si >=3 fuentes; mínimo 2","98","Sí","Acero corrugado en armaduras"
"R075","Sí","2.0","palabra_clave","desc","contiene","ferralla","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-FER","Ferralla B500SD","Acero B500SD","Oferta actual + descompuesto","Hierros Mallorca + rendimiento","Sí","Mediana si >=3 fuentes; mínimo 2","98","Sí","No clasificar como S275"
"R076","Sí","2.0","palabra_clave","desc","contiene","mallazo","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-FER-MAL","Mallazo","Acero B500SD","Oferta específica","Hierros / obra propia","Sí","Mediana si >=3 fuentes; mínimo 2","90","Sí","Convertir unidad si procede"
"R077","Sí","2.0","palabra_clave","desc","contiene","hormigon","","","CIV","Civil","CIV-07","Encofrados, ferralla y hormigones","CIV-07-HOR","Hormigón","Hormigón","Oferta actual + descompuesto","CEMEX + bombeo + colocacion","Sí","Mediana si >=3 fuentes; mínimo 2","95","Sí","No usar solo precio suministro"
"R078","Sí","2.0","palabra_clave","desc","contiene","junta waterstop","","","CIV","Civil","CIV-13","Impermeabilización, revestimientos y protección de hormigón","CIV-13-JUN","Juntas de estanqueidad","Impermeabilización","Oferta específica","Proveedor juntas","Sí","Precio proveedor validado","95","Sí","Clave en depositos y canales"
"R079","Sí","2.0","palabra_clave","desc","contiene","junta hidroexpansiva","","","CIV","Civil","CIV-13","Impermeabilización, revestimientos y protección de hormigón","CIV-13-JUN","Juntas de estanqueidad","Impermeabilización","Oferta específica","Proveedor juntas","Sí","Precio proveedor validado","95","Sí","Clave en depositos y canales"
